"KIKIID","Password","→","有効","メール","氏名","URL","備考"
,,,,,,,
,,,,,,,
,,,,"開発者用試験アカウント",,,
"1","admin","1","有効","root","root","ws://127.0.0.1/aaa/aaa",
"2","800273","1","有効","yomei.otani@gmail.com","大谷","ws://127.0.0.1/aaa/bbb",
"3","700410","0","無効",",""",",""",,
"4","600547","0","無効",,,,
"5","500684","0","無効",,,,
"6","400821","0","無効",,,,
"7","300958","0","無効",,,,
"8","201095","0","無効",,,,
"9","101232","0","無効",,,,
"10","901368","0","無効",,,,
,,"0","無効",,,,
,,"0","無効",,,,
,,"0","無効",,,,
,,"0","無効",,,,
